writer_id,writer_score
nm0369686,5.5993322601665
nm0005139,7.198323102888648
nm6319990,5.5993322601665
nm0843483,6.197959548684545
nm4586375,3.6005935876297075
nm0600409,6.898512587929989
nm3350939,5.699269098486053
nm1984148,6.598701596434897
nm11397262,6.264915672388294
nm9406188,7.198323102888648
nm7438818,5.098984780075165
nm2222778,7.398197256064188
nm1079798,5.2995217452078425
nm7550386,6.798575749610437
nm2611428,6.69863843475445
nm0894787,6.177640647965685
nm9448263,7.398197256064188
nm11393070,8.097756077373926
nm1761557,7.498134094383741
nm2389733,8.697377107291242
nm8111923,4.999710753712749
nm4349921,1.9513027807794208
nm0009463,6.298891081476238
nm8986469,6.598701596434897
nm0807504,7.847581781369085
nm9844952,6.398827919795791
nm0287647,6.298891081476238
nm8271285,6.898512587929989
nm3222789,5.999080089981146
nm11394313,7.198323102888648
nm4787690,5.24922160237854
nm2333766,6.298891081476238
nm5088122,7.0980547791677875
nm11394534,6.598701596434897
nm4352786,6.798575749610437
nm1994773,7.147360465793166
nm3252587,6.69863843475445
nm2935111,6.563731969411246
nm1109731,8.097424115436183
nm0838432,6.798575749610437
nm3700304,7.098386264569095
nm7176527,5.3994585835273945
nm4589083,3.0669337486757815
nm5683926,6.431477069587548
nm2397199,7.298260417744635
nm2394912,7.797945085878833
nm2321069,4.500026085578551
nm11266635,6.598701596434897
nm0880134,6.764600340522492
nm1319671,4.749536934244342
nm11391513,6.998449426249542
nm7432235,8.39756611579615
nm1071389,7.098386264569095
nm5099464,6.497770301911421
nm11396470,7.897881924198386
nm5230308,7.498134094383741
nm0505660,6.598701596434897
nm1036127,5.099647592032302
nm1731479,5.999080089981146
nm2187153,6.398827919795791
nm15186502,9.097125413642324
nm0888079,6.498433272714037
nm6251799,6.948149521688459
nm6592592,7.197991855755557
nm5972236,5.3994585835273945
nm0001317,3.6005935876297075
nm2454599,5.830861186352614
nm6548809,7.148023436595781
nm3758726,6.298891081476238
nm6959954,6.598701596434897
nm4322337,2.7011613279490803
nm1805203,4.999710753712749
nm12880586,6.398827919795791
nm13666355,5.948780185420062
nm2598828,7.498134094383741
nm11396992,6.099016928300699
nm1258471,8.797314422147231
nm12002986,6.598701596434897
nm1267470,3.3007828344028316
nm10234302,6.998449426249542
nm11397394,5.199584430351855
nm4927282,7.198323102888648
nm0414871,5.499395421846947
nm6250404,5.999080089981146
nm2183022,6.531414225598058
nm1705857,5.49906393644564
nm0644293,5.338170443623145
nm4671079,4.449726181017467
nm1685291,5.3994585835273945
nm5528286,7.647708104729979
nm5393776,6.764600340522492
nm3417506,5.199584430351855
nm11399325,6.69863843475445
nm3285500,4.849473772563895
nm10299345,6.298891081476238
nm4465871,5.757905545794414
nm11742013,7.897881924198386
nm15590689,6.598701596434897
nm7809891,4.649600095924789
nm1709235,5.899143251661593
nm1373326,5.398795453879301
nm5743579,5.998748604579838
nm1953143,3.48825670651637
nm2061884,3.7001991788161694
nm9489622,5.99609664988891
nm9842921,8.297629754013032
nm9041093,3.2008459960832787
nm11365155,7.797945085878833
nm2654571,6.398827919795791
nm10431825,6.099016928300699
nm0601012,5.899143251661593
nm11742138,6.798575749610437
nm1070766,6.4174892505471846
nm3668380,8.197692439157045
nm0515383,7.698007771022846
nm2531130,6.330545814775442
nm8005454,5.199584430351855
nm16189693,7.997818762517939
nm2731729,4.999710753712749
nm0775762,5.049347687471218
nm0087525,7.598070932703294
nm0946815,5.5993322601665
nm2201450,4.224204966593532
nm11403130,6.998449426249542
nm9325932,5.899143251661593
nm10487600,7.698007771022846
nm11263455,7.498134094383741
nm1922800,8.497503430652138
nm5022534,6.298891081476238
nm2107329,6.580388029708432
nm10717958,6.248590938646937
nm11404453,8.097756077373926
nm0890060,5.059850998987423
nm7834233,6.498433272714037
nm7548678,6.948149521688459
